ID_Own,IsPlayerSpeaking,Text,ID_Children,Trigger,StatToCheck,StatPointsNeeded,DiceRoll?,DiceRollValue,DiceFail_Children,DiceSuccess_Children
0,False,"Woahh what you got there buddy?
","(2,1)",,,0,False,0,,
2,True,"A holy water gun, duh.
",(4),,,0,False,0,,
1,True,"If you wanna stay dry, you'll give me answers!
",(3),,,0,False,0,,
4,False,"""So you want to infiltrate the bank with...
 that?""
",(6),,,0,False,0,,
3,False," Yeah, because that things gonna do a whole lot of damage.
",(5),,,0,False,0,,
6,True,"well, yeah? 

",(8),,,0,False,0,,
5,True,"Hey! you have no idea what we're capable of! now you got any information for us?
",(7),,,0,False,0,,
8,False,"Ha! good luck with that.
",(10),,,0,False,0,,
7,False,"Me personally? got nothin for ya. Maybe try someone who looks like they work here.
",(9),,,0,False,0,,
10,False,End conversation,(),,,0,False,0,,
9,False,End conversation,(),,,0,False,0,,
